Numéro;Date;Montant;Etat;Tiers;Catégories;Sous-catégorie;Compte;Compte virement;Mode paiement;Ref. Paiement;Référence;Projets/Biens;Commentaire
276;04/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
277;07/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
278;08/03/2022;1078,50;2;REGARDBTP;Autres revenus;Complémentaire Santé;FrenchBanq;;Autre;;;;
279;08/03/2022;-65,00;2;CT Oliveira;Auto/moto;Entretien/réparations;FrenchBanq;;Autre;;;;
280;08/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
281;08/03/2022;-15,43;2;Action;Équipement du logement;Ordinateur et accessoires;FrenchBanq;;Autre;;;;
282;09/03/2022;-1315,00;2;Dr Fournier;Santé;Dentiste;FrenchBanq;;Autre;;;;
283;09/03/2022;-169,05;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
284;09/03/2022;-19,99;2;Free Mobile;Abonnement/factures;Portable;FrenchBanq;;Autre;;;;
285;11/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
286;14/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
287;14/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
288;17/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
289;17/03/2022;-10,01;2;Intermarche;Auto/moto;Carburant;FrenchBanq;;Autre;;;;
290;17/03/2022;-30,01;2;Leclerc;Auto/moto;Carburant;FrenchBanq;;Autre;;;;
291;17/03/2022;-100,00;2;Retrait d'Espèces;Transferts;Transfert;FrenchBanq;;Autre;;;;
292;17/03/2022;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
293;18/03/2022;-200,00;2;SCP ZEHNDER-AMOU;Divers;Responsabilité civile;FrenchBanq;;Autre;;;;
294;18/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
295;21/03/2022;-183,80;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
296;21/03/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
