0;20240828;-11,00;2;Leclerc;Frais Profesionnel;Alimentation/Restaurant;Retrait d'Espèces;;Autre;;;;
183;20211203;-45,00;2;Autres;Loisirs/culture/sport;Loisirs/culture/sport;Retrait d'Espèces;;Autre;;;;
184;20211203;-4,20;2;Retrait d'espèces;Divers;Retrait d'espèces;Retrait d'Espèces;;Autre;;;;
185;20211202;-20,00;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
186;20211130;-210,00;2;Épicerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
187;20211127;-10,00;2;Épicerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
188;20211126;-10,00;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
189;20211123;-5,00;2;La Civette;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
190;20211115;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
191;20211112;-50,00;2;lucas;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
192;20211107;-15,20;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
193;20211107;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
194;20211106;-40,00;2;Épicerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
195;20211104;-30,00;2;Restaurant;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
196;20211104;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
197;20211103;400,00;2;Livret A;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
